project_type,client_industry,estimated_timeline_months,team_size,complexity_score,revision_count,developer_experience_level,final_billed_amount
SaaS Product,Retail,8,5,1,6,3,5396985.58
Business Intelligence Dashboard,Healthcare,5,2,5,2,5,2348723.69
Mobile Application,Education,14,7,5,2,2,15935998.37
Legacy System Modernization,Education,9,14,5,1,3,16912261.77
Mobile Application,Retail,7,15,5,0,4,20298877.68
Business Intelligence Dashboard,Healthcare,8,4,3,4,5,5218596.78
Cloud Migration,Finance,14,12,1,3,3,27438835.26
Blockchain Solution,Startup,14,6,5,10,1,23666809.81
Web Application,Startup,11,5,2,1,5,3748276.59
Cybersecurity Implementation,Retail,14,14,4,0,4,83704625.42
IoT System,Healthcare,8,3,2,2,1,4572016.78
E-commerce Platform,Healthcare,3,13,2,5,5,6428950.49
AI/ML Solution,Education,18,8,3,1,5,17435386.08
IoT System,Finance,3,15,1,9,3,9916508.7
DevOps Automation,Healthcare,13,6,3,6,1,16942049.57
Data Engineering Pipeline,Startup,12,15,1,10,5,22772905.1
DevOps Automation,Finance,15,8,5,6,4,33662791.55
Data Engineering Pipeline,Finance,18,10,3,10,1,50153149.3
Cloud Migration,Retail,5,5,4,2,3,5164483.15
Legacy System Modernization,Healthcare,7,6,1,0,2,6335915.13
Data Engineering Pipeline,Retail,11,10,3,8,5,22579480.55
Mobile Application,Healthcare,11,14,4,10,2,26134439.74
Blockchain Solution,Education,15,11,2,4,5,27945073.66
Cybersecurity Implementation,Retail,10,12,5,1,3,29977546.77
Cybersecurity Implementation,Retail,15,15,5,7,3,51917097.83
Mobile Application,Startup,13,14,2,9,3,19992176.83
Blockchain Solution,Retail,14,5,3,9,3,17533829.13
SaaS Product,Healthcare,17,6,2,3,1,19059727.74
ERP System,Startup,13,14,4,10,1,37703688.86
SaaS Product,Retail,10,6,1,9,5,9614662.73
Legacy System Modernization,Retail,1,9,3,6,1,1700346.02
IoT System,Education,1,14,1,4,5,1518945.9
Legacy System Modernization,Retail,15,5,2,2,1,11663021.96
Cloud Migration,Finance,16,5,5,9,1,27120523.63
IoT System,Startup,12,14,1,7,1,19877204.0
ERP System,Finance,6,8,1,1,4,6633001.6
ERP System,Startup,6,12,5,0,3,12505905.56
DevOps Automation,Education,12,6,1,4,4,18593649.04
Business Intelligence Dashboard,Retail,15,7,1,10,1,11459068.62
DevOps Automation,Retail,4,7,5,3,1,13023786.38
Business Intelligence Dashboard,Retail,4,13,5,10,4,11134307.84
Legacy System Modernization,Startup,2,7,2,9,5,4437934.4
AI/ML Solution,Retail,12,15,2,6,3,26047923.61
Legacy System Modernization,Finance,7,11,1,8,5,14425271.95
Data Engineering Pipeline,Retail,9,6,3,5,3,7375130.44
Blockchain Solution,Education,9,14,2,10,2,21619187.99
Business Intelligence Dashboard,Finance,8,14,2,0,3,18634173.17
SaaS Product,Retail,14,6,3,7,5,13191232.13
IoT System,Retail,1,10,3,1,3,1936647.84
Mobile Application,Healthcare,12,14,5,3,2,23233498.26
DevOps Automation,Startup,2,9,2,2,2,1691702.29
Blockchain Solution,Finance,13,5,4,5,1,21572939.17
Cloud Migration,Healthcare,4,8,4,1,2,7844023.86
Blockchain Solution,Education,18,9,1,4,4,19349536.92
E-commerce Platform,Startup,16,13,2,10,5,27386698.0
Data Engineering Pipeline,Finance,14,10,4,8,4,44008729.33
E-commerce Platform,Retail,8,6,2,2,4,7216127.4
AI/ML Solution,Finance,12,4,2,1,5,11569376.48
Business Intelligence Dashboard,Retail,9,14,4,1,4,17286881.62
AI/ML Solution,Startup,6,5,2,8,4,4116402.65
Cloud Migration,Retail,18,11,3,5,4,33415704.94
SaaS Product,Education,2,7,1,1,2,1948150.84
ERP System,Retail,8,11,5,2,5,21848674.5
E-commerce Platform,Education,14,12,4,0,5,24410342.22
Cybersecurity Implementation,Startup,6,6,5,1,5,8123077.97
E-commerce Platform,Startup,10,10,1,1,4,7786524.04
Cloud Migration,Finance,8,14,3,10,2,30934967.96
CRM System,Education,17,12,3,1,5,29585013.61
Cloud Migration,Education,12,12,3,6,3,19297852.51
AI/ML Solution,Healthcare,17,15,3,2,5,67046545.48
Blockchain Solution,Healthcare,13,4,4,10,1,17716843.91
Mobile Application,Healthcare,12,3,4,3,3,6076601.24
DevOps Automation,Retail,16,7,2,1,5,13089630.25
Mobile Application,Healthcare,5,14,2,4,4,25783858.84
AI/ML Solution,Education,16,8,1,8,5,22529762.47
DevOps Automation,Retail,6,6,2,8,2,4451144.31
CRM System,Startup,11,2,1,6,2,1506805.5
Cybersecurity Implementation,Finance,17,4,1,7,5,11757438.12
Data Engineering Pipeline,Healthcare,14,4,1,4,4,19440286.12
IoT System,Startup,6,13,3,4,4,12948004.66
AI/ML Solution,Education,11,15,5,2,4,44740417.65
Blockchain Solution,Finance,12,5,5,5,5,42623563.5
Business Intelligence Dashboard,Startup,13,15,4,0,5,20374092.71
AI/ML Solution,Finance,4,11,1,2,1,7562719.61
AI/ML Solution,Healthcare,7,7,3,10,2,12509500.86
E-commerce Platform,Education,2,6,2,1,3,1321250.25
E-commerce Platform,Finance,6,2,2,6,3,2137212.34
DevOps Automation,Startup,6,7,4,8,2,6638543.21
Legacy System Modernization,Healthcare,18,15,4,3,1,37847529.87
Legacy System Modernization,Healthcare,8,15,1,6,2,18550051.04
Web Application,Startup,8,10,1,7,1,7463633.53
Cloud Migration,Startup,8,12,2,9,1,14975740.71
Blockchain Solution,Finance,8,2,2,1,4,4466048.54
Web Application,Retail,1,9,2,6,2,795158.74
SaaS Product,Healthcare,2,9,2,2,3,3154460.81
CRM System,Finance,12,4,5,7,5,11725543.92
Legacy System Modernization,Startup,15,14,1,5,5,20315198.84
Business Intelligence Dashboard,Finance,4,10,1,2,2,3899892.29
E-commerce Platform,Startup,3,12,2,7,5,4825116.52
Cybersecurity Implementation,Education,14,14,3,10,1,27750324.0
ERP System,Startup,8,14,2,2,5,15294296.7
CRM System,Startup,13,12,4,8,1,27051276.6
ERP System,Startup,5,9,3,10,1,7864838.0
Blockchain Solution,Retail,13,4,4,2,3,9501285.6
Blockchain Solution,Startup,1,11,3,0,5,1841899.45
SaaS Product,Healthcare,16,6,4,1,3,24343513.14
ERP System,Healthcare,2,4,2,3,5,1584149.74
Blockchain Solution,Finance,7,6,2,10,1,11503377.37
Cybersecurity Implementation,Retail,6,10,3,1,5,9072802.11
Mobile Application,Finance,5,13,4,3,3,32507920.57
Web Application,Healthcare,4,5,5,3,4,4830502.28
AI/ML Solution,Healthcare,2,7,3,3,3,4060182.21
Data Engineering Pipeline,Education,10,4,3,0,4,5345803.0
ERP System,Startup,5,4,1,8,2,2073614.59
Business Intelligence Dashboard,Healthcare,18,6,3,9,3,21178870.55
CRM System,Finance,10,9,5,10,5,26821802.0
Mobile Application,Finance,15,15,2,6,4,40440819.44
ERP System,Startup,9,9,4,1,5,10432709.44
Mobile Application,Startup,11,4,1,2,4,4018217.58
Legacy System Modernization,Education,17,9,4,7,3,27626588.47
Mobile Application,Retail,9,14,2,6,3,12691155.86
ERP System,Finance,16,12,3,3,5,49071833.46
DevOps Automation,Startup,6,14,5,3,3,13978998.73
Cloud Migration,Finance,11,9,1,8,5,20301944.14
Business Intelligence Dashboard,Startup,17,4,5,4,1,25109577.12
AI/ML Solution,Healthcare,4,11,5,10,4,12915906.25
AI/ML Solution,Finance,15,14,5,4,5,74688657.15
Business Intelligence Dashboard,Healthcare,1,11,5,6,4,2707759.46
DevOps Automation,Finance,1,3,2,0,1,482125.9
E-commerce Platform,Retail,9,11,5,2,4,18883651.66
Blockchain Solution,Education,12,3,5,1,5,9936907.21
AI/ML Solution,Healthcare,4,10,2,10,3,8179300.3
E-commerce Platform,Startup,13,8,4,9,4,15440921.38
Mobile Application,Retail,7,7,2,5,4,5872791.01
Cybersecurity Implementation,Finance,8,8,3,10,1,17774551.83
CRM System,Healthcare,13,9,2,5,2,19443462.48
Legacy System Modernization,Finance,11,13,4,9,3,35956409.91
Web Application,Finance,9,2,3,0,5,3082787.68
AI/ML Solution,Finance,16,9,3,5,1,48280307.94
Business Intelligence Dashboard,Education,10,4,1,9,5,3314657.29
Cybersecurity Implementation,Education,11,4,5,1,5,10433041.23
ERP System,Startup,12,7,3,10,4,14146118.53
SaaS Product,Healthcare,14,5,3,3,1,13116809.98
Cloud Migration,Retail,12,5,4,5,1,9664922.39
Business Intelligence Dashboard,Retail,18,5,3,2,3,11554065.89
Blockchain Solution,Retail,17,11,4,2,2,51699992.95
SaaS Product,Finance,3,10,5,2,5,8205687.21
SaaS Product,Education,1,9,1,3,3,990254.76
Mobile Application,Healthcare,4,4,1,8,3,2929265.65
Cloud Migration,Finance,16,2,5,3,5,10945375.9
CRM System,Education,12,2,5,3,4,3508368.38
CRM System,Education,13,2,2,3,4,3632033.93
DevOps Automation,Healthcare,17,5,3,6,5,14931580.58
E-commerce Platform,Healthcare,8,15,3,4,1,16007438.51
Data Engineering Pipeline,Healthcare,13,7,3,1,2,17810187.55
SaaS Product,Finance,5,5,4,6,4,8224132.25
DevOps Automation,Startup,18,12,2,2,2,26780061.38
Blockchain Solution,Healthcare,15,12,3,10,3,50217437.86
E-commerce Platform,Startup,12,4,4,0,3,6039708.42
Legacy System Modernization,Finance,17,9,4,8,5,42438445.33
SaaS Product,Startup,15,15,1,4,5,26621486.91
Cybersecurity Implementation,Retail,2,9,4,9,5,4061697.95
Cloud Migration,Startup,6,7,5,0,4,20097573.14
Data Engineering Pipeline,Healthcare,17,10,4,10,2,50337548.41
ERP System,Finance,16,13,5,0,3,58079762.23
Mobile Application,Healthcare,17,11,5,0,2,38234571.53
Cloud Migration,Retail,9,2,1,8,4,2464663.01
DevOps Automation,Healthcare,5,14,1,7,2,10988608.5
Web Application,Healthcare,1,9,4,10,2,1731097.98
IoT System,Healthcare,6,7,1,5,5,8574801.77
Data Engineering Pipeline,Education,14,2,1,9,2,4095560.9
Data Engineering Pipeline,Retail,17,5,3,5,2,14616963.99
Blockchain Solution,Healthcare,1,6,4,5,2,2008984.94
Mobile Application,Healthcare,1,8,4,3,1,4189821.33
AI/ML Solution,Healthcare,13,9,4,4,3,37513602.56
CRM System,Finance,14,10,1,9,3,27451485.99
CRM System,Education,6,13,1,2,2,9529271.4
Legacy System Modernization,Finance,6,13,5,2,5,19955363.66
Web Application,Education,1,7,2,9,5,875269.34
Cybersecurity Implementation,Healthcare,14,11,2,6,5,33083280.72
Blockchain Solution,Retail,3,10,2,4,3,4557778.74
Cybersecurity Implementation,Startup,10,5,3,7,4,7764268.17
ERP System,Startup,4,9,1,4,2,4176178.71
E-commerce Platform,Healthcare,10,4,5,3,3,10748985.68
Cloud Migration,Finance,2,5,5,2,5,2689429.47
Legacy System Modernization,Retail,4,11,2,1,3,4591556.2
Legacy System Modernization,Education,6,5,3,2,3,3926573.43
IoT System,Healthcare,7,7,3,6,3,10564144.89
Business Intelligence Dashboard,Retail,16,10,2,7,5,16439116.92
AI/ML Solution,Retail,7,7,2,4,4,8345343.76
DevOps Automation,Education,18,2,1,10,1,4238433.0
SaaS Product,Retail,9,6,3,0,2,8444207.92
Business Intelligence Dashboard,Finance,10,10,5,2,2,23186647.75
E-commerce Platform,Finance,13,6,2,3,3,13852783.19
Business Intelligence Dashboard,Finance,18,7,1,9,4,16952244.28
Blockchain Solution,Retail,16,4,5,3,5,18092146.16
SaaS Product,Finance,17,9,3,0,1,40033859.6
Data Engineering Pipeline,Education,13,11,2,9,1,19126804.19
Web Application,Retail,12,12,2,8,3,19315289.88
CRM System,Startup,10,14,1,9,3,18689477.01
ERP System,Retail,1,5,1,3,5,644645.85
Cybersecurity Implementation,Education,8,5,3,1,5,6573316.55
IoT System,Startup,18,12,2,8,5,20306139.32
Blockchain Solution,Retail,2,13,1,3,3,3525404.05
Web Application,Finance,16,6,2,3,4,14277634.84
Data Engineering Pipeline,Healthcare,12,15,3,10,3,45831037.35
DevOps Automation,Healthcare,9,11,2,5,3,11908032.1
ERP System,Finance,3,10,5,7,1,9827568.35
Blockchain Solution,Healthcare,4,14,2,4,5,12204569.21
Data Engineering Pipeline,Healthcare,2,9,4,7,2,5256372.71
IoT System,Finance,8,8,4,0,5,18831613.11
CRM System,Finance,10,6,3,3,4,13726793.33
Legacy System Modernization,Retail,16,10,3,0,4,22877647.1
CRM System,Retail,11,10,3,2,5,15183653.79
Blockchain Solution,Finance,18,11,5,10,5,74025094.62
CRM System,Education,14,11,5,6,3,37587300.96
Web Application,Healthcare,8,3,2,0,2,2928940.53
Web Application,Retail,15,5,1,4,3,7014735.64
Cybersecurity Implementation,Healthcare,17,9,4,0,1,32899638.59
Blockchain Solution,Startup,18,14,4,5,1,53611336.72
Cybersecurity Implementation,Finance,6,15,4,8,4,34039226.2
Blockchain Solution,Education,14,2,2,2,4,4984132.2
Legacy System Modernization,Startup,3,14,2,10,2,4968808.06
Legacy System Modernization,Startup,7,6,3,10,4,5893262.24
DevOps Automation,Startup,15,9,1,5,1,11152677.86
Blockchain Solution,Finance,16,3,3,3,2,15523195.35
IoT System,Retail,16,3,2,5,1,8152741.99
E-commerce Platform,Finance,8,14,5,1,5,26966575.3
ERP System,Retail,7,9,3,3,5,13605024.33
Mobile Application,Startup,6,11,2,6,2,6324589.43
SaaS Product,Startup,2,13,2,10,3,3211709.15
Mobile Application,Education,13,10,5,5,4,18010439.95
Data Engineering Pipeline,Retail,12,8,5,8,2,21480501.41
Legacy System Modernization,Startup,15,9,5,10,4,30084139.43
CRM System,Healthcare,9,6,1,6,1,17298452.99
ERP System,Education,2,2,2,0,3,565882.25
Business Intelligence Dashboard,Finance,17,5,5,5,4,17189342.15
E-commerce Platform,Education,5,3,1,10,5,1773777.89
Web Application,Healthcare,11,4,4,2,5,6697742.2
Cloud Migration,Retail,7,13,4,7,1,18798212.87
AI/ML Solution,Finance,2,4,4,0,2,2620474.7
DevOps Automation,Finance,16,10,2,9,4,30633669.07
CRM System,Retail,12,14,1,1,1,17347446.05
CRM System,Education,15,11,1,2,5,17052108.31
IoT System,Startup,1,5,4,2,5,736401.1
CRM System,Education,13,3,3,6,5,3462829.63
Web Application,Healthcare,6,4,4,7,3,4515379.29
Web Application,Startup,13,4,2,8,3,5044446.2
AI/ML Solution,Education,18,15,4,6,5,46588936.38
SaaS Product,Retail,3,8,4,7,2,5292433.86
Blockchain Solution,Healthcare,1,9,1,10,3,2182711.18
Business Intelligence Dashboard,Healthcare,15,14,4,5,4,42513474.84
ERP System,Healthcare,13,12,5,1,3,58354965.19
CRM System,Startup,5,14,5,0,4,10801167.53
Mobile Application,Finance,13,7,3,2,3,15725228.18
Cybersecurity Implementation,Startup,5,5,2,8,5,4199207.54
IoT System,Education,18,7,2,6,4,18715225.11
IoT System,Finance,10,14,1,1,2,25420697.51
SaaS Product,Education,8,12,2,0,3,12864566.23
Mobile Application,Finance,15,2,3,1,3,5863989.2
Data Engineering Pipeline,Startup,4,14,5,2,5,10717121.21
Mobile Application,Healthcare,2,11,1,5,4,2717957.03
E-commerce Platform,Retail,6,9,5,8,5,11418348.65
Data Engineering Pipeline,Healthcare,3,2,3,7,4,1469556.79
Cloud Migration,Startup,7,6,1,9,3,3636166.07
Legacy System Modernization,Finance,10,3,4,8,3,7762667.47
Cybersecurity Implementation,Healthcare,6,7,2,10,3,19604397.72
Legacy System Modernization,Startup,16,10,3,10,3,26150840.22
IoT System,Education,2,6,1,7,1,1621641.83
Mobile Application,Retail,17,5,5,6,3,16396496.77
Cloud Migration,Healthcare,13,15,1,5,3,35920313.74
Blockchain Solution,Finance,1,3,4,7,4,903946.3
DevOps Automation,Education,6,13,3,5,3,23874036.72
ERP System,Startup,5,4,1,1,3,2534852.48
Cloud Migration,Retail,13,7,3,8,4,16798569.58
SaaS Product,Finance,18,9,3,8,3,93123710.8
E-commerce Platform,Startup,12,15,5,2,3,22265530.7
ERP System,Startup,7,9,2,8,5,10039869.04
Mobile Application,Healthcare,15,6,4,1,1,17306010.85
Business Intelligence Dashboard,Healthcare,3,6,1,2,4,6384663.94
Blockchain Solution,Finance,16,11,2,5,5,46468983.81
Cloud Migration,Startup,1,15,5,3,2,2759185.86
Cybersecurity Implementation,Healthcare,16,14,2,7,2,56794825.15
Mobile Application,Retail,12,4,3,0,1,5913058.83
CRM System,Retail,8,8,3,5,2,9842112.0
Web Application,Startup,12,14,4,1,1,16307472.03
Cloud Migration,Healthcare,15,7,1,5,2,42134924.8
Cybersecurity Implementation,Finance,2,2,1,0,2,687062.86
E-commerce Platform,Finance,17,5,5,1,5,20725719.5
DevOps Automation,Finance,7,7,4,8,2,8687074.75
CRM System,Retail,13,12,1,5,1,18917804.15
Legacy System Modernization,Healthcare,1,7,3,7,3,1636232.16
DevOps Automation,Healthcare,6,12,4,6,3,17043109.43
Legacy System Modernization,Retail,13,15,2,8,3,29328736.61
Mobile Application,Finance,11,13,4,8,1,34686273.72
Web Application,Finance,10,13,4,10,1,20836046.66
Cloud Migration,Startup,16,4,1,3,3,15496384.0
Cloud Migration,Education,17,7,5,6,2,25077229.74
Business Intelligence Dashboard,Healthcare,17,13,5,4,3,49448470.86
IoT System,Healthcare,4,11,1,6,4,8404341.26
Business Intelligence Dashboard,Healthcare,5,7,1,3,1,4640921.81
SaaS Product,Education,14,13,1,9,4,26485325.38
Mobile Application,Startup,10,10,5,10,4,17961404.6
Mobile Application,Education,14,10,1,10,1,14056706.03
Web Application,Finance,1,3,2,0,3,361004.98
Business Intelligence Dashboard,Finance,11,5,2,3,5,9631027.59
Cybersecurity Implementation,Healthcare,18,10,3,9,4,35945040.91
Legacy System Modernization,Retail,16,15,2,2,3,36020049.35
Cybersecurity Implementation,Healthcare,18,14,4,8,5,77044099.62
Web Application,Retail,8,5,3,4,4,5834106.92
Blockchain Solution,Education,10,9,2,3,3,10948281.87
IoT System,Finance,10,11,4,7,4,33998200.11
Cybersecurity Implementation,Retail,5,13,2,4,3,11498714.07
Data Engineering Pipeline,Education,10,4,4,2,2,5693958.36
SaaS Product,Finance,18,4,1,1,2,12741488.37
ERP System,Retail,6,10,4,7,1,11388349.17
Web Application,Healthcare,3,12,1,1,5,3385539.39
Web Application,Healthcare,8,11,4,7,4,16203290.21
AI/ML Solution,Healthcare,9,9,4,4,4,23565921.27
Legacy System Modernization,Education,5,2,2,7,3,1108751.45
SaaS Product,Healthcare,2,11,4,4,5,5571693.56
CRM System,Startup,2,15,2,0,4,2579611.01
CRM System,Finance,7,3,4,10,5,9761202.76
Data Engineering Pipeline,Education,17,4,5,10,5,16936059.71
Business Intelligence Dashboard,Healthcare,10,15,3,1,2,25944896.38
SaaS Product,Finance,12,12,2,5,4,25702538.37
Blockchain Solution,Retail,2,3,2,2,4,1143586.19
Mobile Application,Healthcare,10,4,1,7,1,5205826.61
Mobile Application,Finance,1,9,5,4,5,2254482.03
DevOps Automation,Startup,4,12,1,2,3,4027953.27
Legacy System Modernization,Retail,13,12,5,9,2,41976400.99
Data Engineering Pipeline,Startup,12,13,5,6,1,27984486.47
Web Application,Finance,11,15,4,7,2,38534958.81
Data Engineering Pipeline,Startup,10,7,1,3,3,9268294.06
Data Engineering Pipeline,Finance,15,15,3,10,1,49821355.15
E-commerce Platform,Finance,5,8,5,8,2,11322040.65
Data Engineering Pipeline,Startup,17,11,5,5,3,39607998.14
CRM System,Finance,5,14,2,0,1,11310425.69
E-commerce Platform,Healthcare,2,11,4,4,3,4659787.52
Legacy System Modernization,Finance,9,7,3,4,1,14041196.45
Data Engineering Pipeline,Education,6,2,5,6,4,2516364.86
IoT System,Finance,18,12,2,6,4,50487990.57
ERP System,Education,14,4,1,5,2,8093305.85
Mobile Application,Finance,14,14,5,7,5,52673574.22
E-commerce Platform,Finance,8,2,2,1,5,2421886.09
DevOps Automation,Startup,17,13,1,6,3,17907692.14
SaaS Product,Healthcare,3,11,4,9,1,7823146.14
ERP System,Healthcare,10,13,1,6,4,25362375.43
DevOps Automation,Retail,17,10,5,3,5,23167155.0
AI/ML Solution,Startup,11,14,3,9,4,24825706.24
DevOps Automation,Startup,8,10,1,1,3,5380436.88
Mobile Application,Healthcare,1,6,3,3,3,958302.45
Mobile Application,Startup,13,5,3,3,1,7849860.09
E-commerce Platform,Healthcare,4,13,1,5,5,5371400.28
Data Engineering Pipeline,Startup,7,10,4,6,3,10720909.82
Cloud Migration,Finance,14,10,1,2,3,59864620.57
AI/ML Solution,Healthcare,5,4,2,9,4,4067558.62
E-commerce Platform,Healthcare,11,6,3,0,2,10913279.28
IoT System,Education,17,4,5,2,5,16053729.79
Web Application,Startup,5,11,3,8,1,5453486.24
Cybersecurity Implementation,Startup,3,3,5,0,1,1689653.08
SaaS Product,Healthcare,5,2,2,7,4,1681497.39
DevOps Automation,Finance,15,13,2,1,1,34123938.69
Cloud Migration,Finance,16,11,2,5,3,37018587.17
Data Engineering Pipeline,Finance,8,3,1,2,5,8684605.75
CRM System,Startup,13,9,3,6,1,15798205.8
Legacy System Modernization,Education,16,12,5,1,5,26904633.26
Web Application,Healthcare,3,9,2,3,1,2535983.94
Blockchain Solution,Retail,1,4,2,9,2,844392.27
Business Intelligence Dashboard,Education,9,8,5,8,2,12835394.1
Cloud Migration,Retail,9,8,3,5,5,12514341.89
Legacy System Modernization,Education,17,3,3,3,2,6241327.46
CRM System,Finance,2,10,5,1,2,5656362.23
AI/ML Solution,Startup,9,4,4,9,3,7208906.05
Blockchain Solution,Retail,13,3,3,8,1,8071877.21
E-commerce Platform,Education,5,13,5,3,2,9404078.8
Data Engineering Pipeline,Startup,9,4,5,8,5,4484896.28
Web Application,Retail,13,3,2,1,3,3831615.66
Web Application,Healthcare,1,9,5,6,2,2095114.71
Web Application,Education,15,6,1,10,5,10453111.88
AI/ML Solution,Healthcare,4,4,2,10,1,3416375.27
Blockchain Solution,Finance,4,6,2,4,2,6134724.87
DevOps Automation,Healthcare,10,12,3,7,5,25211276.6
Business Intelligence Dashboard,Healthcare,6,12,4,10,5,16067865.86
IoT System,Education,12,9,3,7,4,12629844.13
AI/ML Solution,Finance,16,8,1,3,5,24790565.79
Cybersecurity Implementation,Healthcare,3,7,2,3,4,2437926.6
SaaS Product,Startup,14,15,2,7,1,27761976.45
SaaS Product,Retail,1,14,5,2,1,2771658.53
Business Intelligence Dashboard,Healthcare,10,2,4,6,3,3246106.32
Mobile Application,Finance,15,11,4,7,4,34810206.76
SaaS Product,Healthcare,7,2,5,7,5,4167828.58
Data Engineering Pipeline,Retail,4,2,1,10,3,1202418.23
AI/ML Solution,Finance,14,15,4,9,3,73223757.4
CRM System,Education,16,11,2,3,1,24256635.72
Business Intelligence Dashboard,Finance,14,15,1,8,5,31314785.53
Cybersecurity Implementation,Education,3,9,3,9,4,4917584.92
Mobile Application,Finance,17,9,3,3,1,17978951.91
DevOps Automation,Retail,14,15,1,7,3,64259473.28
Blockchain Solution,Retail,18,8,2,5,2,18528509.7
CRM System,Finance,3,7,3,4,3,4932892.01
E-commerce Platform,Healthcare,3,5,2,3,2,2637439.32
Business Intelligence Dashboard,Retail,12,2,5,4,1,4696908.87
Data Engineering Pipeline,Education,5,10,4,10,4,9840710.5
Blockchain Solution,Education,10,2,1,0,5,2621335.87
CRM System,Startup,9,5,4,6,2,5273113.93
Mobile Application,Education,1,4,5,7,5,584785.37
CRM System,Startup,13,8,3,8,1,14641163.18
Legacy System Modernization,Finance,3,6,2,2,1,3857337.84
Blockchain Solution,Finance,11,6,2,8,1,17555324.68
ERP System,Finance,16,5,5,9,4,30485462.24
Legacy System Modernization,Healthcare,6,2,1,4,2,1693727.48
IoT System,Healthcare,3,6,4,9,5,12104579.77
Cloud Migration,Startup,6,5,3,5,3,3987901.24
DevOps Automation,Education,8,15,1,0,1,12499034.69
SaaS Product,Education,13,11,5,8,5,27943627.81
Mobile Application,Finance,12,14,5,8,5,39449170.95
Blockchain Solution,Retail,10,9,2,5,4,10929992.71
IoT System,Healthcare,3,3,3,7,2,2402727.81
IoT System,Healthcare,4,9,1,3,4,5119243.12
E-commerce Platform,Finance,1,2,2,4,4,342849.09
CRM System,Healthcare,13,14,3,4,5,92456656.97
Cloud Migration,Finance,4,5,4,6,2,5878746.17
IoT System,Startup,11,4,4,6,2,9079567.81
Cloud Migration,Education,11,6,2,6,2,8314008.0
Legacy System Modernization,Retail,12,14,1,4,1,19274590.22
CRM System,Education,11,6,3,3,2,9547241.28
Blockchain Solution,Education,6,6,4,7,5,9353871.56
Legacy System Modernization,Startup,12,13,4,0,1,22898519.96
Data Engineering Pipeline,Healthcare,9,5,1,0,3,6386852.72
ERP System,Retail,10,9,2,5,4,17697722.75
IoT System,Healthcare,3,4,5,1,2,3592293.79
AI/ML Solution,Education,3,13,3,2,3,4598049.74
Legacy System Modernization,Finance,16,5,4,3,2,18305158.74
ERP System,Education,3,2,5,1,4,1145808.46
CRM System,Healthcare,10,8,1,9,5,10655802.78
E-commerce Platform,Education,11,2,2,6,5,2688539.6
DevOps Automation,Finance,8,3,3,9,4,4477330.34
AI/ML Solution,Startup,6,12,1,0,3,8554568.54
Mobile Application,Healthcare,11,8,2,2,1,10682121.73
SaaS Product,Education,12,2,1,1,1,2845020.18
E-commerce Platform,Healthcare,16,12,4,8,2,45097858.28
ERP System,Startup,18,4,4,7,4,8436067.67
CRM System,Education,13,14,5,2,4,38431040.93
ERP System,Education,3,7,1,4,1,3251376.84
SaaS Product,Healthcare,15,7,4,2,3,21975611.82
IoT System,Healthcare,14,7,2,10,4,19697301.24
E-commerce Platform,Finance,18,12,5,10,5,66660818.88
Legacy System Modernization,Startup,14,14,3,10,5,27809987.13
Blockchain Solution,Finance,5,3,1,5,4,3232020.88
AI/ML Solution,Education,14,3,4,4,3,8732702.59
Cybersecurity Implementation,Healthcare,8,7,2,10,5,15793974.9
Business Intelligence Dashboard,Education,15,11,1,1,3,14969400.48
ERP System,Education,15,6,2,9,1,14004388.47
SaaS Product,Retail,6,15,5,7,2,23430382.9
Mobile Application,Retail,8,8,4,5,1,6659705.25
Mobile Application,Education,6,8,4,2,2,6117586.08
Web Application,Healthcare,15,6,5,0,5,14950064.61
E-commerce Platform,Education,3,9,2,4,2,3279897.01
ERP System,Retail,10,11,1,10,2,15814540.88
Business Intelligence Dashboard,Healthcare,15,7,2,1,4,11685078.29
Data Engineering Pipeline,Education,16,6,1,1,2,9600739.22
SaaS Product,Startup,17,5,5,8,4,15054315.21
IoT System,Startup,11,8,3,10,2,16311303.54
Cloud Migration,Education,16,5,1,9,4,9471614.69
Legacy System Modernization,Healthcare,5,6,4,6,5,6508194.44
Blockchain Solution,Education,5,6,4,5,5,6385312.42
Business Intelligence Dashboard,Education,14,2,4,0,2,3048162.74
Cloud Migration,Retail,18,2,2,9,3,5797249.3
E-commerce Platform,Startup,8,4,2,1,5,2970166.47
Legacy System Modernization,Retail,5,15,2,10,1,9957131.44
Cloud Migration,Retail,7,12,4,6,1,19197516.42
Legacy System Modernization,Education,16,4,1,2,4,8076223.2
Cybersecurity Implementation,Retail,14,3,4,1,3,9628561.81
Web Application,Startup,5,13,1,5,4,5693129.98
Business Intelligence Dashboard,Retail,9,3,2,7,2,2376766.43
E-commerce Platform,Startup,4,7,3,7,5,3821532.93
Business Intelligence Dashboard,Retail,4,14,2,10,3,8389336.7
Cybersecurity Implementation,Startup,16,2,5,1,4,16702502.09
ERP System,Retail,17,7,1,5,4,17574482.82
ERP System,Retail,15,6,3,4,1,15858955.01
ERP System,Healthcare,4,7,2,6,2,5523078.55
DevOps Automation,Startup,6,6,3,3,4,4705927.9
Cloud Migration,Startup,16,8,4,1,1,18424500.7
DevOps Automation,Startup,4,2,1,9,3,824362.94
Web Application,Finance,6,14,5,2,4,17208719.86
Blockchain Solution,Retail,5,4,4,8,1,5123344.11
Cybersecurity Implementation,Startup,16,7,3,9,2,14527360.26
