project_type,client_industry,estimated_timeline_months,team_allocation,complexity_score,revision_count,final_billed_amount
Blockchain Solution,Retail,13,4,4,1,4716498.34
Web Application,Education,2,11,2,4,1192841.96
Mobile Application,Startup,4,9,3,3,2204789.93
Web Application,Retail,2,4,3,6,537957.39
Web Application,Retail,4,15,2,5,3142449.13
Data Engineering Pipeline,Education,18,6,4,2,8156033.1
E-commerce Platform,Retail,5,10,2,8,3468008.94
SaaS Product,Finance,10,12,5,3,12196567.96
Web Application,Education,18,6,4,10,7344993.77
E-commerce Platform,Finance,10,8,2,4,6401228.6
ERP System,Education,5,12,5,2,5261493.02
Business Intelligence Dashboard,Retail,17,15,5,7,21986571.97
DevOps Automation,Finance,13,8,4,10,8643108.61
Cloud Migration,Retail,17,6,1,6,6799265.82
Mobile Application,Education,9,3,1,10,2166154.23
DevOps Automation,Retail,12,6,5,10,5320161.55
Cloud Migration,Finance,14,8,1,6,8779025.84
Business Intelligence Dashboard,Finance,14,8,5,7,10917423.41
SaaS Product,Retail,8,5,1,6,2473287.28
Business Intelligence Dashboard,Healthcare,5,2,5,2,896477.01
Mobile Application,Education,14,7,5,2,7835774.41
Legacy System Modernization,Education,9,14,5,1,9599433.86
Mobile Application,Retail,7,15,5,0,8691204.2
Business Intelligence Dashboard,Healthcare,8,4,3,4,2365544.64
Cloud Migration,Finance,14,12,1,3,12170746.65
Blockchain Solution,Startup,14,6,5,10,8137424.84
Web Application,Startup,11,5,2,1,2655676.58
Cybersecurity Implementation,Retail,14,14,4,0,17596910.71
IoT System,Healthcare,8,3,2,2,1945847.99
E-commerce Platform,Healthcare,3,13,2,5,2991548.21
AI/ML Solution,Education,18,8,3,1,10620626.79
IoT System,Finance,3,15,1,9,2774111.0
DevOps Automation,Healthcare,13,6,3,6,5284042.03
Data Engineering Pipeline,Startup,12,15,1,10,10552721.52
DevOps Automation,Finance,15,8,5,6,12105649.74
Data Engineering Pipeline,Finance,18,10,3,10,16232376.24
Cloud Migration,Retail,5,5,4,2,2134148.57
Legacy System Modernization,Healthcare,7,6,1,0,2425494.38
Data Engineering Pipeline,Retail,11,10,3,8,8486844.83
Mobile Application,Healthcare,11,14,4,10,14188544.6
Blockchain Solution,Education,15,11,2,4,9920289.18
Cybersecurity Implementation,Retail,10,12,5,1,9497549.19
Cybersecurity Implementation,Retail,15,15,5,7,22160351.79
Mobile Application,Startup,13,14,2,9,9482636.03
Blockchain Solution,Retail,14,5,3,9,7076611.71
SaaS Product,Healthcare,17,6,2,3,7214698.46
ERP System,Startup,13,14,4,10,22715914.56
SaaS Product,Retail,10,6,1,9,3276663.94
Legacy System Modernization,Retail,1,9,3,6,667412.31
IoT System,Education,1,14,1,4,803133.45
Legacy System Modernization,Retail,15,5,2,2,4258611.14
Cloud Migration,Finance,16,5,5,9,9459736.58
IoT System,Startup,12,14,1,7,8102759.44
ERP System,Finance,6,8,1,1,3524840.24
ERP System,Startup,6,12,5,0,6020800.61
DevOps Automation,Education,12,6,1,4,4276069.22
Business Intelligence Dashboard,Retail,15,7,1,10,7054059.25
DevOps Automation,Retail,4,7,5,3,2276991.5
Business Intelligence Dashboard,Retail,4,13,5,10,4852757.54
Legacy System Modernization,Startup,2,7,2,9,874425.75
AI/ML Solution,Retail,12,15,2,6,13422002.65
Legacy System Modernization,Finance,7,11,1,8,6004247.32
Data Engineering Pipeline,Retail,9,6,3,5,3427529.45
Blockchain Solution,Education,9,14,2,10,10440652.03
Business Intelligence Dashboard,Finance,8,14,2,0,6434843.41
SaaS Product,Retail,14,6,3,7,6096987.15
IoT System,Retail,1,10,3,1,715026.18
Mobile Application,Healthcare,12,14,5,3,15863284.89
DevOps Automation,Startup,2,9,2,2,999106.06
Blockchain Solution,Finance,13,5,4,5,6847854.05
Cloud Migration,Healthcare,4,8,4,1,2688074.45
Blockchain Solution,Education,18,9,1,4,10470004.16
E-commerce Platform,Startup,16,13,2,10,12652630.48
Data Engineering Pipeline,Finance,14,10,4,8,13703194.39
E-commerce Platform,Retail,8,6,2,2,2647089.8
AI/ML Solution,Finance,12,4,2,1,4168398.77
Business Intelligence Dashboard,Retail,9,14,4,1,8529292.74
AI/ML Solution,Startup,6,5,2,8,3271418.59
Cloud Migration,Retail,18,11,3,5,13974848.93
SaaS Product,Education,2,7,1,1,823992.45
ERP System,Retail,8,11,5,2,8496304.81
E-commerce Platform,Education,14,12,4,0,19587309.72
Cybersecurity Implementation,Startup,6,6,5,1,2520173.29
E-commerce Platform,Startup,10,10,1,1,5419430.87
Cloud Migration,Finance,8,14,3,10,10579006.05
CRM System,Education,17,12,3,1,13503382.02
Cloud Migration,Education,12,12,3,6,9665594.0
AI/ML Solution,Healthcare,17,15,3,2,22059025.95
Blockchain Solution,Healthcare,13,4,4,10,5636522.29
Mobile Application,Healthcare,12,3,4,3,3026040.05
DevOps Automation,Retail,16,7,2,1,7025889.05
Mobile Application,Healthcare,5,14,2,4,4507557.21
AI/ML Solution,Education,16,8,1,8,8914367.85
DevOps Automation,Retail,6,6,2,8,1869894.51
CRM System,Startup,11,2,1,6,1300552.29
Cybersecurity Implementation,Finance,17,4,1,7,5788163.4
Data Engineering Pipeline,Healthcare,14,4,1,4,3886884.5
IoT System,Startup,6,13,3,4,8876922.11
AI/ML Solution,Education,11,15,5,2,14443906.54
Blockchain Solution,Finance,12,5,5,5,6686309.01
Business Intelligence Dashboard,Startup,13,15,4,0,11916939.12
AI/ML Solution,Finance,4,11,1,2,3334918.58
AI/ML Solution,Healthcare,7,7,3,10,4604892.0
E-commerce Platform,Education,2,6,2,1,755263.78
E-commerce Platform,Finance,6,2,2,6,899346.8
DevOps Automation,Startup,6,7,4,8,3390868.94
Legacy System Modernization,Healthcare,18,15,4,3,21795800.84
Legacy System Modernization,Healthcare,8,15,1,6,8104638.66
Web Application,Startup,8,10,1,7,6747254.36
Cloud Migration,Startup,8,12,2,9,6118211.03
Blockchain Solution,Finance,8,2,2,1,1162080.95
Web Application,Retail,1,9,2,6,584376.86
SaaS Product,Healthcare,2,9,2,2,1389072.71
CRM System,Finance,12,4,5,7,4845863.67
Legacy System Modernization,Startup,15,14,1,5,10658869.37
Business Intelligence Dashboard,Finance,4,10,1,2,2746425.74
E-commerce Platform,Startup,3,12,2,7,3457211.41
Cybersecurity Implementation,Education,14,14,3,10,13032101.34
ERP System,Startup,8,14,2,2,7182597.5
CRM System,Startup,13,12,4,8,10117592.29
ERP System,Startup,5,9,3,10,2674758.65
Blockchain Solution,Retail,13,4,4,2,4172491.7
Blockchain Solution,Startup,1,11,3,0,700241.96
SaaS Product,Healthcare,16,6,4,1,8743247.84
ERP System,Healthcare,2,4,2,3,661576.58
Blockchain Solution,Finance,7,6,2,10,4142972.52
Cybersecurity Implementation,Retail,6,10,3,1,4511668.63
Mobile Application,Finance,5,13,4,3,5781478.09
Web Application,Healthcare,4,5,5,3,1682947.6
AI/ML Solution,Healthcare,2,7,3,3,1247995.33
Data Engineering Pipeline,Education,10,4,3,0,2846823.62
ERP System,Startup,5,4,1,8,1163789.36
Business Intelligence Dashboard,Healthcare,18,6,3,9,8471548.25
CRM System,Finance,10,9,5,10,9335217.87
Mobile Application,Finance,15,15,2,6,18330515.75
ERP System,Startup,9,9,4,1,5776882.0
Mobile Application,Startup,11,4,1,2,2418396.29
Legacy System Modernization,Education,17,9,4,7,11674384.47
Mobile Application,Retail,9,14,2,6,8431684.82
ERP System,Finance,16,12,3,3,17646967.85
DevOps Automation,Startup,6,14,5,3,6207426.32
Cloud Migration,Finance,11,9,1,8,7415573.76
Business Intelligence Dashboard,Startup,17,4,5,4,5212356.89
AI/ML Solution,Healthcare,4,11,5,10,4681047.91
AI/ML Solution,Finance,15,14,5,4,23242700.97
Business Intelligence Dashboard,Healthcare,1,11,5,6,1028992.65
DevOps Automation,Finance,1,3,2,0,222884.96
E-commerce Platform,Retail,9,11,5,2,8687227.05
Blockchain Solution,Education,12,3,5,1,3288933.57
AI/ML Solution,Healthcare,4,10,2,10,3595536.99
E-commerce Platform,Startup,13,8,4,9,8124521.87
Mobile Application,Retail,7,7,2,5,2991925.5
Cybersecurity Implementation,Finance,8,8,3,10,5065019.96
CRM System,Healthcare,13,9,2,5,7739390.81
Legacy System Modernization,Finance,11,13,4,9,22967241.01
Web Application,Finance,9,2,3,0,1170764.94
AI/ML Solution,Finance,16,9,3,5,12374534.74
Business Intelligence Dashboard,Education,10,4,1,9,2227864.09
Cybersecurity Implementation,Education,11,4,5,1,3502472.59
ERP System,Startup,12,7,3,10,6571287.46
SaaS Product,Healthcare,14,5,3,3,5688810.98
Cloud Migration,Retail,12,5,4,5,4737581.83
Business Intelligence Dashboard,Retail,18,5,3,2,5602600.18
Blockchain Solution,Retail,17,11,4,2,17555396.79
SaaS Product,Finance,3,10,5,2,3052198.42
SaaS Product,Education,1,9,1,3,489164.64
Mobile Application,Healthcare,4,4,1,8,1071806.47
Cloud Migration,Finance,16,2,5,3,3408952.52
CRM System,Education,12,2,5,3,2031600.99
CRM System,Education,13,2,2,3,1643896.78
DevOps Automation,Healthcare,17,5,3,6,6836199.14
E-commerce Platform,Healthcare,8,15,3,4,9560689.39
Data Engineering Pipeline,Healthcare,13,7,3,1,7698813.73
SaaS Product,Finance,5,5,4,6,2216597.78
DevOps Automation,Startup,18,12,2,2,11555858.5
Blockchain Solution,Healthcare,15,12,3,10,17061221.68
E-commerce Platform,Startup,12,4,4,0,3249357.74
Legacy System Modernization,Finance,17,9,4,8,14684038.82
SaaS Product,Startup,15,15,1,4,12489642.79
Cybersecurity Implementation,Retail,2,9,4,9,1394334.07
Cloud Migration,Startup,6,7,5,0,3469409.94
Data Engineering Pipeline,Healthcare,17,10,4,10,14709201.04
ERP System,Finance,16,13,5,0,34188073.82
Mobile Application,Healthcare,17,11,5,0,18562028.92
Cloud Migration,Retail,9,2,1,8,1131981.79
DevOps Automation,Healthcare,5,14,1,7,6341110.06
Web Application,Healthcare,1,9,4,10,797270.18
IoT System,Healthcare,6,7,1,5,2962299.37
Data Engineering Pipeline,Education,14,2,1,9,1849294.74
Data Engineering Pipeline,Retail,17,5,3,5,6176420.93
Blockchain Solution,Healthcare,1,6,4,5,614490.09
Mobile Application,Healthcare,1,8,4,3,654736.52
AI/ML Solution,Healthcare,13,9,4,4,11111992.58
CRM System,Finance,14,10,1,9,10441147.43
CRM System,Education,6,13,1,2,4355148.6
Legacy System Modernization,Finance,6,13,5,2,7185893.47
Web Application,Education,1,7,2,9,435373.49
Cybersecurity Implementation,Healthcare,14,11,2,6,12646379.1
Blockchain Solution,Retail,3,10,2,4,2196403.95
Cybersecurity Implementation,Startup,10,5,3,7,3564705.4
ERP System,Startup,4,9,1,4,2081561.25
E-commerce Platform,Healthcare,10,4,5,3,5318654.22
Cloud Migration,Finance,2,5,5,2,842406.62
Legacy System Modernization,Retail,4,11,2,1,2839541.03
Legacy System Modernization,Education,6,5,3,2,2028007.24
IoT System,Healthcare,7,7,3,6,3925484.6
Business Intelligence Dashboard,Retail,16,10,2,7,11215410.55
AI/ML Solution,Retail,7,7,2,4,2982265.47
DevOps Automation,Education,18,2,1,10,2274929.26
SaaS Product,Retail,9,6,3,0,3868252.96
Business Intelligence Dashboard,Finance,10,10,5,2,8721356.99
E-commerce Platform,Finance,13,6,2,3,6137063.64
Business Intelligence Dashboard,Finance,18,7,1,9,8136008.82
Blockchain Solution,Retail,16,4,5,3,5949372.51
SaaS Product,Finance,17,9,3,0,12768148.56
Data Engineering Pipeline,Education,13,11,2,9,9951079.01
Web Application,Retail,12,12,2,8,9816752.73
CRM System,Startup,10,14,1,9,8634428.65
ERP System,Retail,1,5,1,3,323324.89
Cybersecurity Implementation,Education,8,5,3,1,2923993.61
IoT System,Startup,18,12,2,8,14520417.04
Blockchain Solution,Retail,2,13,1,3,1957306.99
Web Application,Finance,16,6,2,3,6515914.02
Data Engineering Pipeline,Healthcare,12,15,3,10,13375735.86
DevOps Automation,Healthcare,9,11,2,5,7510593.71
ERP System,Finance,3,10,5,7,2902967.08
Blockchain Solution,Healthcare,4,14,2,4,4628902.61
Data Engineering Pipeline,Healthcare,2,9,4,7,1339001.41
IoT System,Finance,8,8,4,0,9224443.11
CRM System,Finance,10,6,3,3,5029294.27
Legacy System Modernization,Retail,16,10,3,0,11228917.68
CRM System,Retail,11,10,3,2,7936974.85
Blockchain Solution,Finance,18,11,5,10,40412808.41
CRM System,Education,14,11,5,6,13097746.3
Web Application,Healthcare,8,3,2,0,1642474.33
Web Application,Retail,15,5,1,4,4331391.48
Cybersecurity Implementation,Healthcare,17,9,4,0,12567668.37
Blockchain Solution,Startup,18,14,4,5,20019583.55
Cybersecurity Implementation,Finance,6,15,4,8,9624286.14
Blockchain Solution,Education,14,2,2,2,1946375.97
Legacy System Modernization,Startup,3,14,2,10,2353186.75
Legacy System Modernization,Startup,7,6,3,10,2915024.82
DevOps Automation,Startup,15,9,1,5,5985562.05
Blockchain Solution,Finance,16,3,3,3,4801036.27
IoT System,Retail,16,3,2,5,3409300.86
E-commerce Platform,Finance,8,14,5,1,10531496.6
ERP System,Retail,7,9,3,3,4854210.02
Mobile Application,Startup,6,11,2,6,3477278.89
SaaS Product,Startup,2,13,2,10,1776394.86
Mobile Application,Education,13,10,5,5,9276622.06
Data Engineering Pipeline,Retail,12,8,5,8,8547061.66
Legacy System Modernization,Startup,15,9,5,10,11211665.7
CRM System,Healthcare,9,6,1,6,3620015.97
ERP System,Education,2,2,2,0,252762.03
Business Intelligence Dashboard,Finance,17,5,5,5,13078679.75
E-commerce Platform,Education,5,3,1,10,875912.49
Web Application,Healthcare,11,4,4,2,3499767.33
Cloud Migration,Retail,7,13,4,7,7283515.65
AI/ML Solution,Finance,2,4,4,0,729901.38
DevOps Automation,Finance,16,10,2,9,12792935.61
CRM System,Retail,12,14,1,1,10355605.04
CRM System,Education,15,11,1,2,9686542.78
IoT System,Startup,1,5,4,2,372418.63
CRM System,Education,13,3,3,6,2752111.61
Web Application,Healthcare,6,4,4,7,1906599.54
Web Application,Startup,13,4,2,8,2908476.27
AI/ML Solution,Education,18,15,4,6,19168886.44
SaaS Product,Retail,3,8,4,7,2118481.75
Blockchain Solution,Healthcare,1,9,1,10,748572.35
Business Intelligence Dashboard,Healthcare,15,14,4,5,17618227.36
ERP System,Healthcare,13,12,5,1,14264682.14
CRM System,Startup,5,14,5,0,5402958.96
Mobile Application,Finance,13,7,3,2,7475238.9
Cybersecurity Implementation,Startup,5,5,2,8,1827135.46
IoT System,Education,18,7,2,6,8806681.76
IoT System,Finance,10,14,1,1,9980345.77
SaaS Product,Education,8,12,2,0,5839322.55
Mobile Application,Finance,15,2,3,1,2406928.61
Data Engineering Pipeline,Startup,4,14,5,2,4325683.41
Mobile Application,Healthcare,2,11,1,5,1543074.44
E-commerce Platform,Retail,6,9,5,8,4927825.6
Data Engineering Pipeline,Healthcare,3,2,3,7,484081.04
Cloud Migration,Startup,7,6,1,9,2497957.68
Legacy System Modernization,Finance,10,3,4,8,2652093.44
Cybersecurity Implementation,Healthcare,6,7,2,10,3249583.08
Legacy System Modernization,Startup,16,10,3,10,10932151.01
IoT System,Education,2,6,1,7,799386.26
Mobile Application,Retail,17,5,5,6,7198044.91
Cloud Migration,Healthcare,13,15,1,5,13321101.37
Blockchain Solution,Finance,1,3,4,7,317851.35
DevOps Automation,Education,6,13,3,5,5117866.17
ERP System,Startup,5,4,1,1,1141667.74
Cloud Migration,Retail,13,7,3,8,7485670.49
SaaS Product,Finance,18,9,3,8,11530638.46
E-commerce Platform,Startup,12,15,5,2,13609432.03
ERP System,Startup,7,9,2,8,4496263.79
Mobile Application,Healthcare,15,6,4,1,6346553.96
Business Intelligence Dashboard,Healthcare,3,6,1,2,1085138.65
Blockchain Solution,Finance,16,11,2,5,16390447.49
Cloud Migration,Startup,1,15,5,3,1128353.01
Cybersecurity Implementation,Healthcare,16,14,2,7,18575465.75
Mobile Application,Retail,12,4,3,0,3298701.54
CRM System,Retail,8,8,3,5,4883889.17
Web Application,Startup,12,14,4,1,11923856.38
Cloud Migration,Healthcare,15,7,1,5,7711727.69
Cybersecurity Implementation,Finance,2,2,1,0,309334.1
E-commerce Platform,Finance,17,5,5,1,7608116.27
DevOps Automation,Finance,7,7,4,8,4308572.69
CRM System,Retail,13,12,1,5,8602183.55
Legacy System Modernization,Healthcare,1,7,3,7,577701.22
DevOps Automation,Healthcare,6,12,4,6,5655257.02
Legacy System Modernization,Retail,13,15,2,8,13604213.38
Mobile Application,Finance,11,13,4,8,14607393.96
Web Application,Finance,10,13,4,10,12822585.98
Cloud Migration,Startup,16,4,1,3,3474903.61
Cloud Migration,Education,17,7,5,6,10515269.39
Business Intelligence Dashboard,Healthcare,17,13,5,4,18563656.94
IoT System,Healthcare,4,11,1,6,5258175.97
Business Intelligence Dashboard,Healthcare,5,7,1,3,2087256.18
SaaS Product,Education,14,13,1,9,10740110.64
Mobile Application,Startup,10,10,5,10,8401870.24
Mobile Application,Education,14,10,1,10,7302630.66
Web Application,Finance,1,3,2,0,212516.54
Business Intelligence Dashboard,Finance,11,5,2,3,3442589.02
Cybersecurity Implementation,Healthcare,18,10,3,9,16405580.91
Legacy System Modernization,Retail,16,15,2,2,14744118.53
Cybersecurity Implementation,Healthcare,18,14,4,8,24669563.44
Web Application,Retail,8,5,3,4,2721863.0
Blockchain Solution,Education,10,9,2,3,6564618.54
IoT System,Finance,10,11,4,7,10496926.53
Cybersecurity Implementation,Retail,5,13,2,4,4331875.53
Data Engineering Pipeline,Education,10,4,4,2,2963302.28
SaaS Product,Finance,18,4,1,1,5154501.98
ERP System,Retail,6,10,4,7,5239733.94
Web Application,Healthcare,3,12,1,1,2032315.16
Web Application,Healthcare,8,11,4,7,7366170.65
AI/ML Solution,Healthcare,9,9,4,4,7947884.47
Legacy System Modernization,Education,5,2,2,7,647887.97
SaaS Product,Healthcare,2,11,4,4,1582972.1
CRM System,Startup,2,15,2,0,1800690.7
CRM System,Finance,7,3,4,10,1961385.93
Data Engineering Pipeline,Education,17,4,5,10,6000780.25
Business Intelligence Dashboard,Healthcare,10,15,3,1,10010307.07
SaaS Product,Finance,12,12,2,5,11436221.88
Blockchain Solution,Retail,2,3,2,2,462860.1
Mobile Application,Healthcare,10,4,1,7,2736894.23
Mobile Application,Finance,1,9,5,4,802829.88
DevOps Automation,Startup,4,12,1,2,2226700.58
Legacy System Modernization,Retail,13,12,5,9,14200734.29
Data Engineering Pipeline,Startup,12,13,5,6,12040061.51
Web Application,Finance,11,15,4,7,15171835.95
Data Engineering Pipeline,Startup,10,7,1,3,3379277.59
Data Engineering Pipeline,Finance,15,15,3,10,20431298.46
E-commerce Platform,Finance,5,8,5,8,4105016.21
Data Engineering Pipeline,Startup,17,11,5,5,16233245.77
CRM System,Finance,5,14,2,0,5275599.43
E-commerce Platform,Healthcare,2,11,4,4,1834839.89
Legacy System Modernization,Finance,9,7,3,4,5729025.35
Data Engineering Pipeline,Education,6,2,5,6,862841.17
IoT System,Finance,18,12,2,6,25769637.6
ERP System,Education,14,4,1,5,2972809.2
Mobile Application,Finance,14,14,5,7,17821039.72
E-commerce Platform,Finance,8,2,2,1,1155176.41
DevOps Automation,Startup,17,13,1,6,10982110.18
SaaS Product,Healthcare,3,11,4,9,2966870.75
ERP System,Healthcare,10,13,1,6,10134931.16
DevOps Automation,Retail,17,10,5,3,24129851.63
AI/ML Solution,Startup,11,14,3,9,11359468.1
DevOps Automation,Startup,8,10,1,1,3967560.63
Mobile Application,Healthcare,1,6,3,3,440163.21
Mobile Application,Startup,13,5,3,3,3495191.78
E-commerce Platform,Healthcare,4,13,1,5,3265306.24
Data Engineering Pipeline,Startup,7,10,4,6,5590495.37
Cloud Migration,Finance,14,10,1,2,9270108.8
AI/ML Solution,Healthcare,5,4,2,9,1646716.69
E-commerce Platform,Healthcare,11,6,3,0,5389826.06
IoT System,Education,17,4,5,2,5749498.85
Web Application,Startup,5,11,3,8,3630007.91
Cybersecurity Implementation,Startup,3,3,5,0,1206512.36
SaaS Product,Healthcare,5,2,2,7,721692.59
DevOps Automation,Finance,15,13,2,1,14872499.19
Cloud Migration,Finance,16,11,2,5,14456423.79
Data Engineering Pipeline,Finance,8,3,1,2,1482594.11
CRM System,Startup,13,9,3,6,6675598.87
Legacy System Modernization,Education,16,12,5,1,15146075.35
Web Application,Healthcare,3,9,2,3,1830961.29
Blockchain Solution,Retail,1,4,2,9,539901.47
Business Intelligence Dashboard,Education,9,8,5,8,4669267.31
Cloud Migration,Retail,9,8,3,5,5425119.45
Legacy System Modernization,Education,17,3,3,3,5970044.92
CRM System,Finance,2,10,5,1,1763410.64
AI/ML Solution,Startup,9,4,4,9,2973416.47
Blockchain Solution,Retail,13,3,3,8,3559802.04
E-commerce Platform,Education,5,13,5,3,4874746.33
Data Engineering Pipeline,Startup,9,4,5,8,3032867.47
Web Application,Retail,13,3,2,1,2444525.95
Web Application,Healthcare,1,9,5,6,800193.58
Web Application,Education,15,6,1,10,8661680.28
AI/ML Solution,Healthcare,4,4,2,10,1504812.9
Blockchain Solution,Finance,4,6,2,4,2069572.62
DevOps Automation,Healthcare,10,12,3,7,9069297.78
Business Intelligence Dashboard,Healthcare,6,12,4,10,6084277.18
IoT System,Education,12,9,3,7,7906592.33
AI/ML Solution,Finance,16,8,1,3,10078356.05
Cybersecurity Implementation,Healthcare,3,7,2,3,1604326.19
SaaS Product,Startup,14,15,2,7,13915562.74
SaaS Product,Retail,1,14,5,2,1224590.23
Business Intelligence Dashboard,Healthcare,10,2,4,6,2638221.9
Mobile Application,Finance,15,11,4,7,14449216.92
SaaS Product,Healthcare,7,2,5,7,1290180.87
Data Engineering Pipeline,Retail,4,2,1,10,559230.43
AI/ML Solution,Finance,14,15,4,9,22902979.96
CRM System,Education,16,11,2,3,9545879.82
Business Intelligence Dashboard,Finance,14,15,1,8,14721521.65
Cybersecurity Implementation,Education,3,9,3,9,2001954.76
Mobile Application,Finance,17,9,3,3,11935167.55
DevOps Automation,Retail,14,15,1,7,12343981.76
Blockchain Solution,Retail,18,8,2,5,11508331.23
CRM System,Finance,3,7,3,4,1753681.78
E-commerce Platform,Healthcare,3,5,2,3,996782.26
Business Intelligence Dashboard,Retail,12,2,5,4,1644821.41
Data Engineering Pipeline,Education,5,10,4,10,4229042.63
Blockchain Solution,Education,10,2,1,0,1291163.62
CRM System,Startup,9,5,4,6,3580329.62
Mobile Application,Education,1,4,5,7,342788.42
CRM System,Startup,13,8,3,8,6608234.71
Legacy System Modernization,Finance,3,6,2,2,1385172.27
Blockchain Solution,Finance,11,6,2,8,6187949.49
ERP System,Finance,16,5,5,9,8243100.78
Legacy System Modernization,Healthcare,6,2,1,4,775698.9
IoT System,Healthcare,3,6,4,9,1714823.66
Cloud Migration,Startup,6,5,3,5,1973095.31
DevOps Automation,Education,8,15,1,0,6410312.67
SaaS Product,Education,13,11,5,8,18916731.95
Mobile Application,Finance,12,14,5,8,17506023.8
Blockchain Solution,Retail,10,9,2,5,6718960.02
IoT System,Healthcare,3,3,3,7,829787.89
IoT System,Healthcare,4,9,1,3,2728244.77
E-commerce Platform,Finance,1,2,2,4,123439.75
CRM System,Healthcare,13,14,3,4,14602952.97
Cloud Migration,Finance,4,5,4,6,1949042.56
IoT System,Startup,11,4,4,6,3380598.26
Cloud Migration,Education,11,6,2,6,4248015.28
Legacy System Modernization,Retail,12,14,1,4,10312544.96
CRM System,Education,11,6,3,3,7415789.26
Blockchain Solution,Education,6,6,4,7,3602851.97
Legacy System Modernization,Startup,12,13,4,0,9259817.96
Data Engineering Pipeline,Healthcare,9,5,1,0,3075205.44
ERP System,Retail,10,9,2,5,6519449.26
IoT System,Healthcare,3,4,5,1,1279850.17
AI/ML Solution,Education,3,13,3,2,2872717.59
Legacy System Modernization,Finance,16,5,4,3,7338811.77
ERP System,Education,3,2,5,1,474980.16
CRM System,Healthcare,10,8,1,9,6427361.88
E-commerce Platform,Education,11,2,2,6,1248393.54
DevOps Automation,Finance,8,3,3,9,1974507.07
AI/ML Solution,Startup,6,12,1,0,4387371.37
Mobile Application,Healthcare,11,8,2,2,6576897.69
SaaS Product,Education,12,2,1,1,1331494.88
E-commerce Platform,Healthcare,16,12,4,8,27348358.67
ERP System,Startup,18,4,4,7,5425085.03
CRM System,Education,13,14,5,2,15301809.14
ERP System,Education,3,7,1,4,1322334.23
SaaS Product,Healthcare,15,7,4,2,9221043.1
IoT System,Healthcare,14,7,2,10,7852477.33
E-commerce Platform,Finance,18,12,5,10,21727112.4
Legacy System Modernization,Startup,14,14,3,10,13034358.93
Blockchain Solution,Finance,5,3,1,5,1258272.49
AI/ML Solution,Education,14,3,4,4,3362168.39
Cybersecurity Implementation,Healthcare,8,7,2,10,4488669.32
Business Intelligence Dashboard,Education,15,11,1,1,9105787.62
ERP System,Education,15,6,2,9,6332194.06
SaaS Product,Retail,6,15,5,7,8856427.23
Mobile Application,Retail,8,8,4,5,8364044.8
Mobile Application,Education,6,8,4,2,3183264.09
Web Application,Healthcare,15,6,5,0,7103530.96
E-commerce Platform,Education,3,9,2,4,1648699.47
ERP System,Retail,10,11,1,10,7906077.72
Business Intelligence Dashboard,Healthcare,15,7,2,1,11933814.13
Data Engineering Pipeline,Education,16,6,1,1,5440379.91
SaaS Product,Startup,17,5,5,8,12236171.52
IoT System,Startup,11,8,3,10,5720456.17
Cloud Migration,Education,16,5,1,9,4933993.48
Legacy System Modernization,Healthcare,5,6,4,6,2352905.1
Blockchain Solution,Education,5,6,4,5,2554294.26
Business Intelligence Dashboard,Education,14,2,4,0,1964041.61
Cloud Migration,Retail,18,2,2,9,2691657.11
E-commerce Platform,Startup,8,4,2,1,1915032.04
Legacy System Modernization,Retail,5,15,2,10,4420036.97
Cloud Migration,Retail,7,12,4,6,6198930.1
Legacy System Modernization,Education,16,4,1,2,3921000.87
Cybersecurity Implementation,Retail,14,3,4,1,3447221.94
Web Application,Startup,5,13,1,5,3415458.31
Business Intelligence Dashboard,Retail,9,3,2,7,1832849.48
E-commerce Platform,Startup,4,7,3,7,1853536.87
Business Intelligence Dashboard,Retail,4,14,2,10,3680547.88
Cybersecurity Implementation,Startup,16,2,5,1,3988757.15
ERP System,Retail,17,7,1,5,7193238.36
ERP System,Retail,15,6,3,4,9314563.05
ERP System,Healthcare,4,7,2,6,2349886.24
DevOps Automation,Startup,6,6,3,3,2205448.85
Cloud Migration,Startup,16,8,4,1,9403800.78
DevOps Automation,Startup,4,2,1,9,803581.29
Web Application,Finance,6,14,5,2,7616922.63
Blockchain Solution,Retail,5,4,4,8,1831906.99
Cybersecurity Implementation,Startup,16,7,3,9,8295038.3
E-commerce Platform,Finance,16,2,2,7,2533033.07
Business Intelligence Dashboard,Healthcare,10,14,1,8,9304415.72
Legacy System Modernization,Startup,9,12,5,4,8264296.78
IoT System,Startup,4,12,2,4,3228839.99
E-commerce Platform,Finance,14,8,5,6,11517993.18
Cloud Migration,Retail,4,5,1,6,1249242.49
DevOps Automation,Healthcare,12,4,3,0,3899087.04
DevOps Automation,Startup,10,11,5,4,8506275.96
CRM System,Retail,4,10,1,7,2296529.65
DevOps Automation,Healthcare,18,2,5,6,3347329.26
Blockchain Solution,Education,13,9,2,10,7753871.62
Data Engineering Pipeline,Education,13,2,5,1,2228097.23
Business Intelligence Dashboard,Healthcare,14,14,2,7,13523236.5
Data Engineering Pipeline,Finance,18,15,2,1,20852297.6
Legacy System Modernization,Healthcare,1,6,1,9,384303.56
Business Intelligence Dashboard,Healthcare,16,11,4,0,21737775.84
Cybersecurity Implementation,Finance,15,9,5,10,13230497.95
Business Intelligence Dashboard,Finance,5,7,3,10,2732856.86
Data Engineering Pipeline,Retail,6,8,2,10,3675939.49
E-commerce Platform,Retail,6,12,4,2,5827767.24
