project_type,client_industry,complexity_level,client_tier,estimated_timeline_weeks,team_size,estimated_modules,estimated_features,estimated_hours,quoted_cost,final_    billed_amount
AI Solution,Education,Medium,SMB,28,8,49,59,7840,11078706.0,10921322.0
ERP,E-commerce,Medium,Enterprise,16,12,49,109,6720,14327001.0,14757279.0
Mobile App,E-commerce,Low,SMB,13,10,35,175,5330,6084903.0,5930103.0
Mobile App,Manufacturing,High,Startup,21,9,31,184,6615,9777032.0,11492420.0
ERP,SaaS,Medium,Enterprise,17,7,15,93,4760,11633332.0,12464142.0
AI Solution,E-commerce,Low,SMB,16,7,35,56,4928,6104599.0,5712209.0
Mobile App,Education,Low,Startup,13,11,21,177,4862,4606664.0,4743790.0
Mobile App,SaaS,Low,SMB,12,10,12,196,5280,5288940.0,5485190.0
Web App,FinTech,Medium,SMB,6,2,23,79,480,1762808.0,1897339.0
ERP,SaaS,High,Startup,23,3,7,62,2622,6520414.0,6991991.0
Web App,E-commerce,Medium,Startup,25,3,5,107,2775,5446887.0,5915377.0
AI Solution,E-commerce,Medium,SMB,15,10,49,80,6450,8948428.0,10423129.0
Web App,E-commerce,High,Startup,25,8,21,94,8600,13310946.0,12883226.0
AI Solution,SaaS,Medium,Startup,19,6,30,140,3762,7028491.0,6946542.0
ERP,FinTech,Medium,Startup,5,2,44,185,340,2739914.0,2560016.0
Mobile App,Healthcare,Medium,Startup,13,14,21,177,6006,9190920.0,9669034.0
Mobile App,SaaS,Medium,SMB,14,2,18,99,1120,2281207.0,2825341.0
ERP,SaaS,Low,Startup,29,7,47,68,7714,7502412.0,8142796.0
Data Pipeline,E-commerce,Low,SMB,29,9,21,186,10179,10957521.0,12291775.0
ERP,Healthcare,High,Startup,20,13,36,29,9620,16094393.0,19056881.0
Data Pipeline,Education,Medium,SMB,13,11,27,37,4290,5822686.0,7215992.0
AI Solution,E-commerce,Low,Startup,4,5,33,141,780,1503978.0,1667569.0
AI Solution,SaaS,Medium,Startup,8,12,35,45,3648,4356065.0,5259695.0
ERP,E-commerce,Medium,Startup,22,2,26,97,1320,4785735.0,5229966.0
Web App,Education,Medium,SMB,4,2,33,88,280,1542405.0,1460389.0
Mobile App,FinTech,High,SMB,21,5,38,196,4305,10816326.0,10172279.0
Data Pipeline,E-commerce,High,Enterprise,25,14,27,49,14350,36510836.0,42265004.0
ERP,Education,High,Startup,8,7,38,141,2184,4665885.0,4817922.0
ERP,SaaS,Medium,Enterprise,29,8,22,81,10208,13837666.0,16938940.0
AI Solution,Healthcare,Medium,SMB,27,3,18,144,2592,7562604.0,8147148.0
Data Pipeline,E-commerce,High,Startup,4,6,43,147,792,3112535.0,2929530.0
AI Solution,Manufacturing,Medium,SMB,9,2,29,113,594,2802777.0,2806732.0
Web App,SaaS,Medium,Startup,16,5,26,147,3120,6122806.0,6896594.0
Data Pipeline,Education,Medium,Enterprise,28,7,26,38,6468,10876835.0,13553580.0
ERP,E-commerce,High,SMB,23,2,23,168,1610,6456813.0,6440461.0
Mobile App,SaaS,Medium,Startup,9,10,9,99,2790,4736822.0,5192222.0
Mobile App,FinTech,Medium,Startup,22,3,35,52,2904,5645822.0,5717643.0
Web App,Manufacturing,Medium,Startup,28,7,26,163,6468,13559905.0,15825350.0
Data Pipeline,Education,Low,SMB,28,7,48,156,7448,6600655.0,8126029.0
Mobile App,Manufacturing,High,SMB,26,8,34,170,8320,13156905.0,14124587.0
Data Pipeline,SaaS,Medium,SMB,25,5,13,199,3875,13036538.0,12492218.0
Web App,FinTech,Low,Startup,12,12,11,88,4896,6988447.0,7038840.0
Mobile App,Healthcare,High,Startup,16,14,12,190,6944,17231206.0,15817049.0
Data Pipeline,FinTech,Low,Enterprise,10,5,39,34,1850,4420326.0,5195378.0
ERP,Manufacturing,Medium,SMB,28,4,7,55,4480,9480603.0,9416006.0
ERP,FinTech,Low,Enterprise,8,12,27,33,3552,9818881.0,10215086.0
Web App,SaaS,Medium,SMB,17,7,14,131,5236,7014692.0,7560826.0
Data Pipeline,E-commerce,Medium,Enterprise,11,7,33,59,2695,6295548.0,6539362.0
ERP,E-commerce,Low,Enterprise,19,7,25,109,5320,10173306.0,10150374.0
Mobile App,E-commerce,Medium,SMB,28,5,48,85,5460,8304609.0,9904641.0
ERP,Manufacturing,Low,SMB,25,10,22,89,7750,10176841.0,11092395.0
ERP,SaaS,Medium,SMB,25,8,17,66,7200,10695976.0,11919760.0
Mobile App,E-commerce,Low,Startup,10,4,49,160,1560,8437628.0,8912063.0
AI Solution,Manufacturing,High,Startup,4,12,23,144,1968,3969389.0,4610079.0
ERP,Manufacturing,High,SMB,26,2,20,43,1768,6780238.0,8148370.0
ERP,Education,High,Startup,6,11,43,134,2706,4822961.0,4941590.0
Mobile App,FinTech,Medium,Startup,21,2,38,186,1512,5252011.0,4848479.0
Data Pipeline,Education,Medium,Startup,23,3,35,151,2415,4747577.0,4836029.0
Web App,Manufacturing,High,SMB,29,14,39,62,12586,29716714.0,28036535.0
Mobile App,SaaS,Low,Startup,12,8,19,79,3552,3824957.0,4146903.0
Web App,E-commerce,Low,Startup,19,11,48,153,8569,8547112.0,9419838.0
Mobile App,E-commerce,Medium,Startup,20,3,19,129,2520,3916478.0,4814766.0
Mobile App,E-commerce,Low,SMB,6,14,39,163,3696,3464100.0,4098806.0
Web App,E-commerce,High,SMB,25,4,32,122,4200,9441824.0,10236273.0
Web App,E-commerce,Medium,SMB,15,2,33,107,1140,5028017.0,4930722.0
Web App,FinTech,Medium,SMB,29,8,49,112,7656,12152664.0,14979882.0
AI Solution,FinTech,Low,Enterprise,24,9,37,161,7128,14970764.0,17036381.0
AI Solution,SaaS,Medium,Startup,19,9,27,29,5985,8105043.0,9622964.0
ERP,Manufacturing,Medium,SMB,5,5,23,154,975,4522522.0,4518886.0
ERP,Manufacturing,Low,SMB,7,14,28,186,3234,12477582.0,12716148.0
AI Solution,Healthcare,Low,Startup,24,4,47,26,4032,12070272.0,11590230.0
Data Pipeline,SaaS,Medium,SMB,23,11,17,112,8096,13043517.0,12964950.0
Data Pipeline,Education,Medium,SMB,5,3,7,99,480,1718936.0,1691732.0
Mobile App,E-commerce,Low,Enterprise,28,8,24,21,8288,18806440.0,20449641.0
ERP,Manufacturing,Medium,Startup,9,7,14,40,2457,4186805.0,4535340.0
ERP,E-commerce,Medium,Enterprise,11,8,10,158,3608,9149021.0,8811410.0
AI Solution,Healthcare,Low,Enterprise,15,8,21,133,4680,9612015.0,9495629.0
AI Solution,FinTech,High,Startup,28,4,29,76,4928,10993115.0,12202454.0
ERP,SaaS,Medium,SMB,26,5,8,145,5720,16131587.0,17923780.0
Web App,Education,Medium,SMB,5,2,30,85,420,1229867.0,1206787.0
Mobile App,Healthcare,Medium,Startup,20,13,13,133,8580,14194894.0,15350274.0
Mobile App,Education,Low,Startup,23,14,10,173,12880,10574463.0,10321885.0
Web App,Education,High,Enterprise,17,10,12,87,6970,14465106.0,14144132.0
Data Pipeline,Healthcare,Medium,Startup,14,11,21,129,5390,9220976.0,8798288.0
Web App,Healthcare,High,SMB,10,10,8,44,4400,8170792.0,7706794.0
AI Solution,Healthcare,Medium,SMB,8,6,26,152,1920,3913722.0,4415480.0
Mobile App,SaaS,Medium,SMB,9,2,9,141,630,1813317.0,2070763.0
AI Solution,Healthcare,High,Startup,19,9,39,93,5301,14402022.0,13226996.0
Mobile App,FinTech,Medium,SMB,18,8,35,166,6192,10806090.0,10382801.0
AI Solution,Education,High,Enterprise,4,4,47,104,592,4083199.0,3716253.0
ERP,FinTech,Medium,Startup,29,13,14,50,15457,18405164.0,21174337.0
Data Pipeline,SaaS,Medium,SMB,9,12,39,52,3348,5336508.0,5734671.0
Web App,FinTech,Medium,Startup,23,8,20,184,7728,11452531.0,11820759.0
Mobile App,Education,Medium,Enterprise,25,3,11,128,2400,7232617.0,6619425.0
AI Solution,Manufacturing,Low,Startup,10,10,33,115,3400,4105063.0,4853482.0
Web App,Healthcare,Medium,Startup,16,7,19,150,3808,9907959.0,9518630.0
Mobile App,Healthcare,Medium,SMB,29,9,21,187,9396,14577144.0,17048546.0
Mobile App,Education,Low,Enterprise,13,8,16,167,3536,4954654.0,5952332.0
Data Pipeline,Healthcare,High,SMB,13,4,35,36,1976,5058621.0,6264220.0
AI Solution,Manufacturing,Medium,Enterprise,15,14,46,32,8610,12675280.0,15433663.0
Data Pipeline,SaaS,Medium,Enterprise,6,14,44,73,2604,7103738.0,8145753.0
Data Pipeline,Education,Medium,SMB,22,4,20,178,2816,4614342.0,5705515.0
Mobile App,E-commerce,Medium,Startup,26,10,31,77,10660,11247980.0,12465507.0
Web App,Manufacturing,Medium,Startup,24,9,48,168,7128,10976063.0,11820019.0
Data Pipeline,SaaS,Medium,Startup,7,9,28,36,1953,3154026.0,3766110.0
Mobile App,SaaS,High,Startup,9,13,12,90,3627,17626590.0,18274981.0
ERP,Manufacturing,Medium,Enterprise,9,12,29,43,4104,12376469.0,12435652.0
Web App,Education,High,SMB,22,2,33,71,1936,4256454.0,4644553.0
Mobile App,E-commerce,Low,SMB,11,4,22,96,1848,4404006.0,4398516.0
ERP,SaaS,Medium,Startup,10,14,10,43,4480,7546801.0,7753841.0
AI Solution,SaaS,High,Enterprise,24,7,46,138,7056,19024238.0,18028462.0
Data Pipeline,SaaS,Low,Startup,4,5,48,66,640,3281123.0,3378404.0
Web App,E-commerce,Medium,SMB,29,7,40,187,6496,35485059.0,43600002.0
Web App,Education,Low,SMB,23,12,49,124,11316,9847221.0,10156783.0
Web App,Healthcare,Medium,Startup,22,8,17,75,7744,9614542.0,10694798.0
Data Pipeline,FinTech,Medium,SMB,24,6,43,146,5760,9264908.0,11484027.0
ERP,Education,Low,Enterprise,29,7,37,66,8526,11394099.0,10553608.0
Data Pipeline,E-commerce,Medium,Startup,8,10,18,141,3280,4805417.0,4439838.0
AI Solution,FinTech,High,Enterprise,24,2,11,22,1968,10621658.0,10626589.0
AI Solution,E-commerce,Medium,Startup,25,9,21,104,7200,11496984.0,12834391.0
Data Pipeline,FinTech,Medium,Startup,18,6,17,198,4428,7426310.0,7725880.0
Web App,E-commerce,Medium,SMB,11,10,43,162,3740,5542000.0,6553520.0
ERP,SaaS,Low,Enterprise,5,13,37,171,2145,4564186.0,4964221.0
ERP,Manufacturing,High,Startup,19,14,49,126,11438,15346071.0,15838589.0
Mobile App,Education,Medium,Enterprise,24,5,13,76,4440,9033990.0,9546172.0
Data Pipeline,E-commerce,Low,Enterprise,12,7,34,151,3696,5843889.0,5824764.0
Mobile App,Education,Medium,Startup,29,3,23,150,3306,7416757.0,7181262.0
Web App,SaaS,Medium,Startup,6,7,8,107,1848,3527558.0,3876259.0
Web App,E-commerce,Low,SMB,29,8,34,29,8584,9622945.0,10998151.0
Web App,Healthcare,High,SMB,24,6,5,21,5616,14307194.0,13921452.0
Data Pipeline,Manufacturing,Low,Enterprise,14,13,7,134,5642,10208124.0,9642127.0
AI Solution,Manufacturing,Medium,Startup,4,7,49,54,1120,2693098.0,2526046.0
Mobile App,E-commerce,Medium,SMB,7,14,13,117,3626,7176445.0,8353581.0
AI Solution,Healthcare,Low,SMB,5,10,8,135,1800,3725273.0,3411003.0
AI Solution,E-commerce,High,Enterprise,17,11,7,185,7854,19360924.0,17858140.0
Mobile App,Education,Medium,Startup,26,11,23,175,8580,24897658.0,29193193.0
Web App,Manufacturing,Medium,SMB,25,7,41,58,5425,24173585.0,30150002.0
Mobile App,E-commerce,Low,Enterprise,15,4,21,111,2280,4664956.0,5308385.0
Data Pipeline,SaaS,Medium,SMB,14,9,41,127,5166,8049900.0,7637705.0
Web App,Education,Medium,Enterprise,28,5,21,107,4760,11156786.0,10628979.0
AI Solution,FinTech,Medium,Startup,29,13,15,32,15080,21487545.0,23464222.0
ERP,Healthcare,Low,Startup,24,13,39,42,13416,16046228.0,18992658.0
AI Solution,SaaS,Low,Startup,5,13,41,97,2665,3045543.0,3390454.0
Web App,Manufacturing,Medium,Startup,24,13,35,140,10296,11681128.0,13936726.0
Web App,FinTech,High,Enterprise,25,7,16,25,5950,21094846.0,20451113.0
Mobile App,Manufacturing,High,Startup,16,14,23,66,8288,10559280.0,12659851.0
Mobile App,SaaS,High,SMB,29,5,24,131,5365,10219459.0,10837337.0
AI Solution,Education,Low,SMB,21,7,12,107,4851,10499670.0,12195855.0
AI Solution,Manufacturing,Medium,SMB,15,5,40,26,2400,5940635.0,5448093.0
Mobile App,E-commerce,Medium,SMB,27,2,16,46,1890,11496327.0,11787871.0
Data Pipeline,FinTech,Medium,Startup,7,14,29,147,3234,6259150.0,6717926.0
Data Pipeline,Healthcare,High,SMB,26,2,13,107,2132,7339789.0,7471380.0
Web App,Manufacturing,Medium,Enterprise,11,7,15,33,2618,5699069.0,6296819.0
AI Solution,SaaS,Low,Startup,10,12,15,78,5280,4810891.0,4931534.0
Mobile App,FinTech,Low,Startup,19,13,42,153,10127,10622186.0,11562897.0
AI Solution,Education,Low,Startup,12,9,18,180,3888,3973652.0,4407539.0
ERP,Education,Medium,SMB,17,14,12,159,9044,8898116.0,11007685.0
Mobile App,Manufacturing,Medium,SMB,15,2,17,166,1230,3826433.0,4516296.0
Web App,Healthcare,Medium,Startup,26,13,47,159,14196,16941896.0,17237807.0
ERP,SaaS,Medium,Startup,15,5,39,193,2625,5766613.0,5504524.0
Data Pipeline,Education,Medium,Startup,26,9,38,26,8190,10780352.0,10214031.0
Mobile App,Healthcare,High,Startup,12,12,29,108,6048,10454554.0,11269703.0
Web App,Education,Medium,Startup,23,2,45,119,1886,3701815.0,3606383.0
Web App,Healthcare,Medium,Startup,17,4,48,115,2108,5084285.0,5064315.0
ERP,Education,Low,SMB,24,14,21,187,14112,15928626.0,15819307.0
Mobile App,Manufacturing,Medium,Startup,23,10,9,180,8050,13494119.0,12560412.0
AI Solution,Manufacturing,Low,Enterprise,17,4,27,157,2176,5079956.0,6117631.0
AI Solution,FinTech,Medium,Enterprise,10,14,11,197,4620,12793511.0,13664175.0
Data Pipeline,Healthcare,Low,Enterprise,16,13,14,84,8944,12256455.0,13082788.0
AI Solution,Manufacturing,Medium,SMB,7,11,38,27,3003,5530017.0,5031171.0
Web App,SaaS,High,Startup,17,8,39,58,5984,8999764.0,9460348.0
Mobile App,Manufacturing,Medium,Startup,12,3,21,176,1224,2782206.0,2739648.0
ERP,FinTech,Low,Startup,16,3,39,66,1872,4659662.0,4477268.0
AI Solution,SaaS,Medium,Startup,24,7,14,171,6216,7573795.0,9170634.0
ERP,Healthcare,Medium,SMB,6,8,46,170,1680,4223680.0,4542371.0
Web App,SaaS,Low,SMB,15,8,7,131,3600,5577348.0,5615714.0
ERP,Healthcare,Medium,SMB,10,14,36,185,5880,10959740.0,10131652.0
Web App,FinTech,Medium,SMB,17,5,14,193,3485,6659741.0,7051956.0
Mobile App,Education,Medium,SMB,13,3,25,171,1365,2762194.0,2993407.0
Mobile App,FinTech,Low,SMB,23,2,8,192,1886,4128007.0,4136914.0
Data Pipeline,Healthcare,High,SMB,22,9,21,118,8316,13414614.0,15977006.0
ERP,Manufacturing,High,Startup,14,2,41,39,896,3575687.0,4455291.0
AI Solution,FinTech,Low,Startup,29,2,38,156,2494,6323274.0,5773244.0
ERP,Education,Medium,Enterprise,28,7,31,159,8428,16651298.0,15365386.0
ERP,Manufacturing,High,SMB,20,6,7,145,4200,12364087.0,11420761.0
Data Pipeline,E-commerce,Medium,SMB,9,9,39,102,2835,5707134.0,5842803.0
Web App,SaaS,Low,Enterprise,22,12,16,30,9240,11618025.0,14005024.0
ERP,Education,Low,Startup,27,12,44,153,10692,9488868.0,10538262.0
Data Pipeline,Manufacturing,Medium,SMB,24,3,35,144,3096,5259735.0,5713675.0
ERP,SaaS,Medium,Startup,23,7,23,46,6118,8056746.0,8659469.0
Mobile App,FinTech,Low,Startup,8,6,18,69,1872,2633932.0,3200469.0
Web App,Education,Low,SMB,18,5,10,99,3780,4549412.0,4210705.0
Web App,Education,Medium,SMB,27,11,40,133,12474,14226804.0,15241235.0
Web App,SaaS,High,Enterprise,19,13,40,180,8151,18196888.0,22212310.0
Mobile App,Healthcare,Medium,Startup,14,5,41,57,2800,4853898.0,5120657.0
Web App,E-commerce,Medium,Startup,25,3,9,101,2400,4479127.0,5193749.0
Web App,E-commerce,Medium,Startup,8,6,33,115,1968,3470713.0,3463093.0
Data Pipeline,E-commerce,High,SMB,29,12,31,119,10440,23565974.0,24338887.0
Web App,Healthcare,Low,SMB,15,7,12,196,4095,5056463.0,5891952.0
ERP,Education,Medium,SMB,17,6,36,125,4182,7210572.0,6789039.0
Mobile App,Education,Medium,SMB,21,14,40,82,8820,12577107.0,12776519.0
ERP,E-commerce,Medium,Startup,24,6,41,114,5184,8777437.0,8527801.0
Web App,Education,Medium,Startup,13,4,31,22,2132,4641736.0,5220544.0
ERP,SaaS,Medium,Startup,25,10,24,132,7500,11487769.0,11728739.0
Data Pipeline,SaaS,Low,SMB,20,14,34,44,9520,10343327.0,12646916.0
Data Pipeline,Healthcare,High,Startup,28,12,21,131,14112,20345226.0,24088543.0
Mobile App,Manufacturing,Low,Enterprise,16,13,45,179,8112,11742174.0,11012396.0
AI Solution,Education,Low,SMB,24,12,21,52,12672,9591431.0,10269412.0
Mobile App,Education,Low,SMB,16,5,9,42,2800,3625095.0,4051569.0
AI Solution,SaaS,High,Enterprise,12,3,49,141,1584,11909841.0,14316254.0
Web App,Manufacturing,Low,Startup,11,5,24,88,2310,2516514.0,2652885.0
Mobile App,E-commerce,High,Startup,8,12,22,73,4128,6132134.0,7418891.0
Mobile App,FinTech,Low,Startup,14,14,22,146,5880,9742001.0,9587669.0
Web App,Manufacturing,Medium,Startup,15,8,31,72,4680,7023310.0,6404258.0
Web App,Healthcare,Low,Enterprise,16,14,39,94,6720,11257426.0,13895712.0
AI Solution,SaaS,Low,Startup,26,13,48,152,12168,10384817.0,12520855.0
Web App,E-commerce,Medium,Startup,5,6,33,116,1170,2238696.0,2103016.0
ERP,FinTech,Medium,SMB,15,11,37,173,6435,13923362.0,13116199.0
Mobile App,FinTech,Low,Startup,25,11,22,194,8250,11617697.0,12605718.0
AI Solution,FinTech,Low,Startup,29,7,28,46,7105,10214924.0,10939277.0
Mobile App,FinTech,Medium,Startup,29,6,14,139,6960,13538161.0,16648595.0
Data Pipeline,FinTech,Medium,Enterprise,22,5,43,27,3300,12956928.0,11869912.0
Mobile App,FinTech,Medium,Startup,29,10,28,58,11890,21009876.0,22938224.0
AI Solution,E-commerce,Medium,Enterprise,7,14,44,38,3332,7656916.0,8674750.0
Data Pipeline,E-commerce,High,SMB,11,3,39,43,1221,3939326.0,4315101.0
Data Pipeline,E-commerce,Medium,SMB,24,6,27,116,5328,11274872.0,10473281.0
Mobile App,SaaS,Low,SMB,5,7,25,92,1365,1859367.0,2225677.0
Mobile App,SaaS,Medium,SMB,25,14,23,102,12250,16874756.0,18353200.0
Mobile App,Education,Low,SMB,21,8,17,100,5544,6240484.0,6673067.0
Mobile App,Manufacturing,Low,Startup,27,2,39,33,1728,3567351.0,3694419.0
ERP,Education,Low,SMB,18,2,11,136,1188,2774698.0,3257519.0
ERP,FinTech,High,SMB,17,3,26,156,1530,7201182.0,7582943.0
Data Pipeline,E-commerce,Low,Startup,14,13,18,48,7098,8695331.0,7978441.0
Web App,Healthcare,Low,Startup,15,12,7,82,7380,7900450.0,7760942.0
AI Solution,SaaS,Medium,Startup,11,7,8,191,3388,5108168.0,4922411.0
Data Pipeline,FinTech,High,Startup,7,3,39,141,861,2795033.0,3392456.0
Web App,FinTech,Medium,Enterprise,26,10,16,138,9880,19275637.0,23697260.0
Data Pipeline,Education,Low,SMB,20,12,38,76,8160,8748999.0,9101623.0
ERP,SaaS,Medium,Startup,8,13,13,77,3432,5260719.0,6363039.0
AI Solution,FinTech,Low,Startup,16,3,36,64,1824,4006875.0,4032669.0
AI Solution,Education,Low,SMB,27,5,18,44,5265,5043964.0,6267968.0
Web App,Education,Medium,Startup,13,6,27,90,3198,3620284.0,3639962.0
Data Pipeline,Healthcare,High,SMB,18,4,33,135,2304,7943555.0,7956448.0
ERP,FinTech,Medium,Enterprise,7,14,5,163,3528,10332273.0,9971551.0
ERP,Healthcare,Medium,Startup,4,6,21,124,864,3275124.0,2999559.0
Data Pipeline,Education,Medium,Enterprise,9,6,18,149,1998,4015920.0,4413351.0
Web App,Manufacturing,High,SMB,12,6,18,56,2664,4793671.0,5563804.0
Web App,E-commerce,Medium,Startup,16,8,29,52,4736,6566459.0,7218781.0
Data Pipeline,E-commerce,Medium,Enterprise,23,8,27,67,7728,14379367.0,14035730.0
ERP,SaaS,Medium,SMB,12,14,40,28,7392,8613596.0,9538238.0
AI Solution,Healthcare,High,SMB,23,9,27,36,7245,16427143.0,18684443.0
ERP,FinTech,Medium,Enterprise,19,14,25,132,9842,23192231.0,23819123.0
Mobile App,FinTech,High,Enterprise,15,2,37,122,930,5605508.0,5951669.0
Data Pipeline,SaaS,Medium,Startup,27,9,17,167,10692,11142651.0,11840215.0
Web App,Manufacturing,Medium,Startup,23,11,32,139,8349,12436487.0,11986803.0
AI Solution,SaaS,Medium,SMB,13,3,28,185,1599,3925101.0,3829786.0
Data Pipeline,Healthcare,Low,Enterprise,5,8,45,184,1440,3711679.0,3420324.0
AI Solution,Education,Medium,SMB,25,8,21,166,7000,8653353.0,10682816.0
Web App,E-commerce,Medium,SMB,9,13,21,33,4329,7182704.0,7139286.0
ERP,Healthcare,Low,SMB,22,10,42,100,7040,12703611.0,12470290.0
AI Solution,Healthcare,Medium,Startup,25,9,42,40,9675,25215086.0,31421963.0
Mobile App,E-commerce,Low,Enterprise,26,13,31,169,12844,21157540.0,19575009.0
Mobile App,Education,Low,Startup,23,14,12,57,13524,14188317.0,15081328.0
Data Pipeline,E-commerce,Low,SMB,28,14,24,198,13328,15541808.0,17224559.0
Mobile App,E-commerce,Medium,Startup,26,6,12,192,6552,9347393.0,8736231.0
AI Solution,SaaS,High,SMB,17,5,26,181,3400,6351908.0,7877342.0
ERP,Manufacturing,Medium,Startup,20,3,24,134,2580,4461031.0,4893637.0
Web App,E-commerce,High,Startup,13,2,40,100,806,3261837.0,3618928.0
ERP,Manufacturing,Medium,SMB,6,4,38,52,1032,3403124.0,4108698.0
Web App,Healthcare,Medium,Enterprise,24,9,32,46,6696,14027098.0,17066869.0
Data Pipeline,Manufacturing,Medium,Enterprise,9,10,32,83,3240,5807726.0,6938809.0
ERP,Education,Medium,Enterprise,17,9,35,107,5508,9200522.0,10008426.0
Data Pipeline,Education,Medium,SMB,27,10,8,40,8370,11723769.0,12380172.0
ERP,SaaS,Low,Startup,6,2,13,118,396,1746547.0,1827615.0
Web App,Education,Medium,SMB,11,7,29,113,3388,4301749.0,4572452.0
Mobile App,E-commerce,Medium,SMB,20,8,44,58,5280,9543156.0,11144858.0
Data Pipeline,FinTech,Low,Enterprise,19,6,47,104,4560,7628552.0,8957590.0
ERP,E-commerce,Medium,Startup,12,9,15,99,3888,7555456.0,7159111.0
Mobile App,Manufacturing,High,SMB,9,14,41,103,3780,8275507.0,9495854.0
Data Pipeline,SaaS,High,SMB,5,10,49,84,2050,4219048.0,4243231.0
AI Solution,Manufacturing,High,Startup,21,9,5,44,7560,11477252.0,12739435.0
AI Solution,Manufacturing,Medium,Startup,13,6,31,32,2964,3798947.0,4677664.0
Mobile App,Healthcare,High,Startup,27,7,15,100,6237,15338166.0,14230170.0
ERP,E-commerce,High,Enterprise,29,11,16,113,13079,30531769.0,32171518.0
ERP,Healthcare,Medium,Startup,24,2,32,77,2112,6082707.0,5542686.0
Data Pipeline,Manufacturing,Low,SMB,25,8,15,178,7000,10641220.0,10170597.0
ERP,FinTech,Medium,Startup,10,12,28,49,4200,11388709.0,14212733.0
Data Pipeline,Healthcare,Medium,Startup,20,6,44,126,4440,6816453.0,7951601.0
Data Pipeline,FinTech,Low,SMB,9,11,43,109,3861,5553770.0,6261101.0
ERP,Healthcare,Medium,Startup,22,13,29,69,12298,13525854.0,16141344.0
Web App,Manufacturing,Medium,Enterprise,20,3,20,107,2580,6610249.0,6790198.0
ERP,E-commerce,Medium,SMB,28,4,9,121,3920,9426718.0,8859370.0
AI Solution,E-commerce,High,Startup,9,11,32,119,3465,7834358.0,8106078.0
ERP,E-commerce,Medium,SMB,5,14,8,173,2240,4867211.0,5554495.0
Web App,E-commerce,High,Startup,24,6,25,191,5184,11112102.0,11531756.0
ERP,Healthcare,Medium,SMB,27,9,28,57,9963,15422514.0,16788758.0
Mobile App,Education,Medium,SMB,18,10,43,39,7560,8882874.0,8478440.0
Mobile App,Education,Low,SMB,9,4,43,57,1152,2285780.0,2172517.0
ERP,E-commerce,High,Startup,8,5,40,142,1680,5155765.0,5166149.0
AI Solution,Healthcare,Medium,Startup,19,11,42,78,7315,12327841.0,13424963.0
Web App,FinTech,Low,SMB,22,14,43,108,12012,15245663.0,16733321.0
Web App,SaaS,Medium,SMB,17,6,13,91,3672,5332877.0,6246520.0
AI Solution,Healthcare,Medium,SMB,17,9,23,70,5355,9950036.0,10516064.0
ERP,FinTech,Low,SMB,26,12,9,113,9360,24272728.0,27073359.0
Mobile App,E-commerce,Low,Startup,8,4,31,98,1248,1718903.0,2120742.0
Web App,Education,Low,SMB,26,13,13,74,11492,12507191.0,12936458.0
Data Pipeline,FinTech,Medium,Startup,8,9,13,175,3024,5767920.0,5430839.0
AI Solution,SaaS,Medium,SMB,6,13,31,49,2652,4169045.0,4534299.0
Data Pipeline,Manufacturing,Medium,Startup,22,3,41,79,2310,5953236.0,6642681.0
Data Pipeline,FinTech,Low,Startup,17,5,23,81,3060,4469902.0,5376053.0
Mobile App,FinTech,Medium,Enterprise,23,9,39,114,8073,19486429.0,20352531.0
Data Pipeline,Manufacturing,Medium,SMB,17,12,42,117,7548,10782196.0,10827194.0
ERP,Manufacturing,High,SMB,10,9,13,149,2700,7519396.0,8389314.0
AI Solution,Education,High,SMB,7,4,41,182,1092,3072870.0,3186561.0
ERP,Education,Low,SMB,16,11,13,145,5280,7973244.0,8016339.0
Data Pipeline,E-commerce,Low,Startup,14,13,28,47,6006,6629155.0,8266310.0
Mobile App,Education,High,SMB,25,7,16,75,7525,12079815.0,12022732.0
ERP,Education,Medium,Enterprise,12,5,47,84,1860,5390834.0,6236955.0
Mobile App,Manufacturing,High,Enterprise,21,12,9,181,9072,22232554.0,24305593.0
ERP,Education,Medium,SMB,29,14,30,109,15834,17139388.0,17548566.0
Web App,Healthcare,Low,SMB,26,8,13,46,7696,25433134.0,23936834.0
ERP,Education,Low,Startup,28,10,17,122,10360,9982571.0,10656320.0
Web App,SaaS,Medium,Startup,25,13,46,21,10075,11529621.0,14035943.0
ERP,Education,Low,Startup,7,3,7,20,630,2704092.0,2812591.0
Web App,Healthcare,Medium,Startup,9,3,29,173,999,1867457.0,2324598.0
Mobile App,Manufacturing,Medium,Startup,23,11,14,142,9361,10493314.0,12300036.0
ERP,FinTech,Low,SMB,26,12,29,198,13104,15489814.0,18041781.0
AI Solution,Education,Low,SMB,27,14,44,102,13230,12215639.0,15182064.0
Mobile App,Healthcare,Medium,SMB,4,2,34,45,272,3206577.0,2968060.0
Web App,SaaS,Low,Startup,20,2,41,140,1400,2719240.0,2693666.0
Data Pipeline,Education,High,Startup,18,14,20,39,10584,12797120.0,13548711.0
Web App,E-commerce,Medium,SMB,29,10,24,78,9860,16219975.0,17764476.0
AI Solution,FinTech,Low,Startup,25,8,9,132,7000,11204167.0,10348329.0
Mobile App,Education,Low,Startup,6,3,9,158,702,1335931.0,1231659.0
AI Solution,SaaS,Medium,SMB,13,3,8,37,1248,3912365.0,4110191.0
ERP,FinTech,High,Enterprise,24,4,18,146,3264,14785402.0,14230457.0
